nodo,so,chunk_id,tiempo_s,pico_cpu_proc,pico_cpu_sys,pico_ram_mb,encontrado
NodoA,Linux,0,1.6141502840000612,6.4,14.5,29.2,
NodoB,Linux,1,1.6193622060000052,6.3,14.5,29.1,
NodoA,Linux,2,1.6142550459999256,6.3,15.4,29.2,
NodoB,Linux,3,1.6349506169999586,6.3,15.3,29.1,
NodoA,Linux,4,1.604016354000123,6.3,14.7,29.2,
NodoB,Linux,5,1.6354247700000997,6.4,15.3,29.1,
NodoA,Linux,6,1.6024295549996168,6.4,15.7,29.2,
NodoB,Linux,7,1.6187602410000181,6.3,15.8,29.1,
NodoA,Linux,8,1.0615331869994407,6.2,14.0,29.2,8450137
NodoB,Linux,9,1.5978269300003376,6.3,14.8,29.1,
NodoA,Linux,10,1.6188993659998232,6.3,14.4,29.2,
NodoB,Linux,11,1.629094896999959,6.3,15.3,29.1,
